"year","brand","superbowl_ads_dot_com_url","youtube_url","funny","show_product_quickly","patriotic","celebrity","danger","animals","use_sex","view_count","like_count","dislike_count"
2007,"Budweiser","https://superbowl-ads.com/2007-budweiser-king-crab/","https://www.youtube.com/watch?v=7KHlMJE84eA",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,184689,133,24
2002,"Budweiser","https://superbowl-ads.com/2002-budweiser-ground-zero-clydesdales-bow/","https://www.youtube.com/watch?v=1MZUvib98Rs",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,121400,642,10
2020,"NFL","https://superbowl-ads.com/2020-nfl-next-100/","https://www.youtube.com/watch?v=lbkafMhmvMo",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,26727063,175429,7445
2017,"NFL","https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-super-bowl-baby-legends/","https://www.youtube.com/watch?v=9csH_Hy-7A4",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,865781,2315,130
2005,"Bud Light","https://superbowl-ads.com/2005-bud-light-parrot/","https://www.youtube.com/watch?v=-gTWA5AsTP8",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,8990,29,0
2009,"Pepsi","https://superbowl-ads.com/2009-pepsi-max-im-good/","https://www.youtube.com/watch?v=qUZaSf7T7ig",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,129399,345,12
2004,"Bud Light","https://superbowl-ads.com/2004-bud-light-frank/","https://www.youtube.com/watch?v=mjN3OY9Eefk",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3739,115,1
2020,"Doritos","https://superbowl-ads.com/2020-doritos-the-cool-ranch-with-lil-nas-x-and-sam-elliott/","https://www.youtube.com/watch?v=6xVnq31Vk8Y",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1990447,10717,576
2007,"Bud Light","https://superbowl-ads.com/2007-bud-light-slap/","https://www.youtube.com/watch?v=aOfRpCp6Pgw",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,72997,86,30
2020,"Pepsi","https://superbowl-ads.com/2020-pepsi-zero-sugar-done-right/","https://www.youtube.com/watch?v=Ozb_fJB_z6o",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,29219,146,38
2019,"Hynudai","https://superbowl-ads.com/2019-hyundai-shopper-assurance-the-elevator-with-jason-bateman/","https://www.youtube.com/watch?v=6mfJ0EsqLWs",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,38968,216,15
2009,"Budweiser","https://superbowl-ads.com/2009-budweiser-clydesdales-generations/","https://www.youtube.com/watch?v=ukpnHh4eEeQ",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,302143,527,15
2011,"Kia","https://superbowl-ads.com/2011-kia-optima-one-epic-ride-super-bowl-xlv-commercial/","https://www.youtube.com/watch?v=8FMU5yPZgwM",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,36832,200,7
2019,"Doritos","https://superbowl-ads.com/2019-doritos-now-its-hot-with-chance-the-rapper-and-backstreet-boys/","https://www.youtube.com/watch?v=NvIcPAxZ39o",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,41828,683,14
2019,"Pepsi","https://superbowl-ads.com/2019-pepsi-more-than-ok/","https://www.youtube.com/watch?v=64UH1_D95gQ",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,69050,773,37
2013,"Hynudai","https://superbowl-ads.com/video-2013-hyundai-sonata-turbo-super-bowl-xlvii-stuck/","https://www.youtube.com/watch?v=WTf0XGpINJI",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4302,22,0
2019,"NFL","https://superbowl-ads.com/2019-nfl-nfl100/","https://www.youtube.com/watch?v=sl8ooTIMk2w",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,77720,680,15
2011,"Coca-Cola","https://superbowl-ads.com/2011-coca-cola-border/","https://www.youtube.com/watch?v=Aw6-aXMBseo",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,113771,235,8
2019,"Pepsi","https://superbowl-ads.com/2019-pepsi-bubly-buble/","https://www.youtube.com/watch?v=I-_Uh-vZXgo",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,128792,961,15
2016,"Hynudai","https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/","https://www.youtube.com/watch?v=r_kXSO9Cph0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5049,40,3
2010,"Bud Light","https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=zE7wyUmsM0k",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85454,120,3
2000,"E-Trade","https://superbowl-ads.com/2000-etrade-monkey-dance/","https://www.youtube.com/watch?v=Muyq2kMDFoA",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,9036,51,2
2001,"Bud Light","https://superbowl-ads.com/2001-bud-light-otto/","https://www.youtube.com/watch?v=XJEYIR-Cai4",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2801,9,0
2018,"Doritos","https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/","https://www.youtube.com/watch?v=rZh_CbcVe7M",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,23327,333,6
2001,"Budweiser","https://superbowl-ads.com/2001-budweiser-what-are-you-doing/","https://www.youtube.com/watch?v=gtmJEt0w1k4",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,50088,151,3
2018,"Coca-Cola","https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/","https://www.youtube.com/watch?v=be5DH6jQs38",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,301,2,0
2013,"Hynudai","https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/","https://www.youtube.com/watch?v=YyKVvAZSAug",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3667,7,2
2004,"Pepsi","https://superbowl-ads.com/2004-pepsi-bears-find-food/","https://www.youtube.com/watch?v=GzWUUZRli6s",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,179695,295,12
2018,"Kia","https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/","https://www.youtube.com/watch?v=9_dE6Z2HK8I",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,16399,219,3
2018,"Pepsi","https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/","https://www.youtube.com/watch?v=0gHYd67OumQ",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,669906,2849,181
2018,"NFL","https://superbowl-ads.com/touchdown-celebrations-to-come-nfl-super-bowl-lii-commercial/","https://www.youtube.com/watch?v=KUoD-gPDahw",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3464175,20508,556
2010,"E-Trade","https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=LgiYL1Ry2I8",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,14927,19,1
2017,"NFL","https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/","https://www.youtube.com/watch?v=pvKBdrx4quA",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,310443,2215,323
2000,"E-Trade","https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/","https://www.youtube.com/watch?v=oftjwYmlfoA",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,67182,121,4
2007,"E-Trade","https://superbowl-ads.com/2007-etrade-one-finger/","https://www.youtube.com/watch?v=jaR5-kefxn4",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,97247,97,22
2000,"Budweiser","https://superbowl-ads.com/2000-budweiser-whaasup-game/","https://www.youtube.com/watch?v=loimTUjV92Q",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5264,10,1
2013,"Doritos","https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/","https://www.youtube.com/watch?v=DoM6IhfY8No",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,576696,2541,94
2013,"Budweiser","https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/","https://www.youtube.com/watch?v=AMP9fgyi41M",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1171,5,2
2007,"Doritos","https://superbowl-ads.com/2007-doritos-live-the-favor/","https://www.youtube.com/watch?v=kNxgxF-7SfA",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1683994,2508,861
2009,"Budweiser","https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/","https://www.youtube.com/watch?v=w_ZEGUX4YnI",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,49339,67,2
2012,"E-Trade","https://superbowl-ads.com/2012-etrade-fatherhood/","https://www.youtube.com/watch?v=fObt1E6Ij_E",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,0,0
2019,"Bud Light","https://superbowl-ads.com/2019-bud-light-medieval-barbers/","https://www.youtube.com/watch?v=hkSQ2Vr41bM",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,36683,65,117
2017,"Kia","https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/","https://www.youtube.com/watch?v=pVxmT2x3Od4",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,87687,589,22
2007,"Bud Light","https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/","https://www.youtube.com/watch?v=qIC90Vnc-OI",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,177497,392,9
2011,"Bud Light","https://superbowl-ads.com/2011-bud-light-dog-sitter/","https://www.youtube.com/watch?v=JJn1vM7LB1Y",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,350,1,1
2016,"Pepsi","https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/","https://www.youtube.com/watch?v=B9j4Cw5dkBs",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,40818,320,19
2009,"Hynudai","https://superbowl-ads.com/2009-hyundai-angry-bosses/","https://www.youtube.com/watch?v=puG0WOgAUfs",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,373684,585,178
2011,"Coca-Cola","https://superbowl-ads.com/2011-coca-cola-siege/","https://www.youtube.com/watch?v=nAJvHsVoLq0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,87396,53,2
2016,"Hynudai","https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/","https://www.youtube.com/watch?v=wBcijELzZi4",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,11074,91,5
2009,"Doritos","https://superbowl-ads.com/2009-doritos-new-flavor-pitch/","https://www.youtube.com/watch?v=qKKpRhFcKBk",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,41379,103,9
2010,"Doritos","https://superbowl-ads.com/hd-exclusive-doritos-samurai-2010-super-bowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=1ww1k7w4WQ8",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,219464,1136,28
2015,"Doritos","https://superbowl-ads.com/2015-doritos-middle-seat/","https://www.youtube.com/watch?v=2JqRXLQYF9o",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2319854,2746,203
2007,"Coca-Cola","https://superbowl-ads.com/2007-coca-cola-video-game/","https://www.youtube.com/watch?v=3Tnm53uXIvg",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,249186,452,49
2019,"Toyota","https://superbowl-ads.com/2019-toyota-supra-wizard/","https://www.youtube.com/watch?v=ZuBbnZ3UbJw",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6713,68,5
2002,"Budweiser","https://superbowl-ads.com/2002-budweiser-how-ya-doin/","https://www.youtube.com/watch?v=mhEYXcCB1Qw",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,38574,199,7
2014,"Coca-Cola","https://superbowl-ads.com/2014-coca-going-all-the-way/","https://www.youtube.com/watch?v=nO-8ZY7p95o",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3900,14,3
2004,"Budweiser","https://superbowl-ads.com/2004-budweiser-referee/","https://www.youtube.com/watch?v=uO-E2T1hayU",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,327529,803,42
2016,"Coca-Cola","https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/","https://www.youtube.com/watch?v=sMkGwCw7iv8",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,6428474,58957,2673
2015,"Budweiser","https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/","https://www.youtube.com/watch?v=5tso0er4EUI",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7621,14,2
2016,"Hynudai","https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/","https://www.youtube.com/watch?v=KwUUdl22mkA",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,156718,1243,24
2001,"Bud Light","https://superbowl-ads.com/2001-bud-light-pencil-pusher/","https://www.youtube.com/watch?v=J89vbNUzhIE",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,60774,269,10
2003,"Bud Light","https://superbowl-ads.com/2003-bud-light-strongman/","https://www.youtube.com/watch?v=_cEQ5g6bzdM",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3754,18,1
2000,"Bud Light","https://superbowl-ads.com/2000-bud-light-hold-the-door/","https://www.youtube.com/watch?v=M3IV93HwSkc",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6641,7,1
2018,"Coca-Cola","https://superbowl-ads.com/2018-coca-cola-super-bowl-ad-wonder-us/","https://www.youtube.com/watch?v=ucCvhK2CZMo",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
2001,"Pepsi","https://superbowl-ads.com/2001-pepsi-subway-miracle/","https://www.youtube.com/watch?v=1nmPv4M8Ps8",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,788,4,2
2014,"Doritos","https://superbowl-ads.com/2014-doritos-cowboy-kid/","https://www.youtube.com/watch?v=1X_M47SQF6s",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,10929,37,3
2016,"Budweiser","https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-simply-put/","https://www.youtube.com/watch?v=Le_2S2db0Bk",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,136,0,0
2004,"Budweiser","https://superbowl-ads.com/2004-budweiser-donkey/","https://www.youtube.com/watch?v=pmmsr7PAhWU",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1939823,3744,108
2015,"Budweiser","https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/","https://www.youtube.com/watch?v=7_EfXuGev24",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,79,0,0
2016,"Kia","https://superbowl-ads.com/kia-optima-2016-super-bowl-50-ad-walken-closet/","https://www.youtube.com/watch?v=rBkPXt-OpA4",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14395,86,1
2017,"Budweiser","https://superbowl-ads.com/2017-budweiser-super-bowl-51-li-tv-commercial-born-hard-way/","https://www.youtube.com/watch?v=HtBZvl7dIu4",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,28785122,48423,17113
2000,"Budweiser","https://superbowl-ads.com/2000-budweiser-talking-dog/",NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
2009,"Coca-Cola","https://superbowl-ads.com/2009-coca-cola-heist/","https://www.youtube.com/watch?v=icV7fGqPZ2I",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,503550,1490,296
2015,"Doritos","https://superbowl-ads.com/doritos-2015-super-bowl-xlix-ad-when-pigs-fly/","https://www.youtube.com/watch?v=YQo0TfuueaY",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,1274288,2031,149
2004,"Toyota","https://superbowl-ads.com/2004-toyota-revenge/","https://www.youtube.com/watch?v=5uLJitPWAXM",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,112297,640,9
2016,"NFL","https://superbowl-ads.com/nfl-2016-super-bowl-50-ad-super-bowl-babies-choir/","https://www.youtube.com/watch?v=9KqekigARfE",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,4921309,20690,2015
2017,"Hynudai","https://superbowl-ads.com/2017-hyundai-super-bowl-51-li-tv-commercial-better-super-bowl/","https://www.youtube.com/watch?v=KpN6fxOorwE",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,907,8,0
2012,"Bud Light","https://superbowl-ads.com/2012-bud-light-rescue-dog/","https://www.youtube.com/watch?v=Qr3GJqccGi4",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,14579,42,1
2008,"Budweiser","https://superbowl-ads.com/2008-budweiser-dalmatian-trains-hank-for-team/","https://www.youtube.com/watch?v=odpagg0jV6I",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,110004,300,7
2013,"Hynudai","https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/","https://www.youtube.com/watch?v=jvm68nEAU7o",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,114478,1042,11
2010,"Doritos","https://superbowl-ads.com/hd-exclusive-casket-funeral-doritos-2010-super-bowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=2IhJl7mBtls",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11608,22,0
2016,"Bud Light","https://superbowl-ads.com/bud-light-2016-super-bowl-50-ad-the-bud-light-party/","https://www.youtube.com/watch?v=e0ez2t6oRWY",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,487,NA,NA
2019,"Toyota","https://superbowl-ads.com/2019-toyota-toni-with-antoinette-harris/","https://www.youtube.com/watch?v=wegrVsP3gK4",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4873,32,14
2009,"Bud Light","https://superbowl-ads.com/2009-bud-light-meeting/","https://www.youtube.com/watch?v=L1fL0ZHX2t0",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,54079,171,7
2019,"Budweiser","https://superbowl-ads.com/2019-budweiser-wind-never-felt-better/",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA
2003,"Bud Light","https://superbowl-ads.com/2003-bud-light-yoga/","https://www.youtube.com/watch?v=bcV8WN1YIL4",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,147160,53,15
2019,"Coca-Cola","https://superbowl-ads.com/2019-coca-cola-a-coke-is-a-coke/","https://www.youtube.com/watch?v=WTqL_giKNHQ",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,81952,417,56
2012,"Hynudai","https://superbowl-ads.com/2012-hyundai-genesis-heart/","https://www.youtube.com/watch?v=UxQKSCpOIOI",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1264,2,0
2011,"Hynudai","https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-hypnotized-video/","https://www.youtube.com/watch?v=5ofcQl6gWeE",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,319,0,0
2015,"Kia","https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-brosnan/","https://www.youtube.com/watch?v=nayeYTmEdYw",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,81049,74,0
2014,"Budweiser","https://superbowl-ads.com/2014-budweiser-a-heros-welcome/","https://www.youtube.com/watch?v=XxfxB0O9Uuk",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13141,NA,NA
2007,"Bud Light","https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/","https://www.youtube.com/watch?v=kH50-giCeDM",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,218329,309,8
2008,"Hynudai","https://superbowl-ads.com/2008-hyundai-genesis-luxury/","https://www.youtube.com/watch?v=PsKJUnGEGSs",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13312,18,11
2010,"NFL","https://superbowl-ads.com/2010-nfl-best-fans-on-the-planet/","https://www.youtube.com/watch?v=6cMHr8goUgU",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,91378,404,14
2005,"Pepsi","https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/","https://www.youtube.com/watch?v=vUwROngDC88",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,111,0,0
2018,"Budweiser","https://superbowl-ads.com/41891-2/","https://www.youtube.com/watch?v=GNVw5f16GEM",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,39897,138,8
2018,"Bud Light","https://superbowl-ads.com/bud-light-the-bud-knight/","https://www.youtube.com/watch?v=UizTtcBsNi8",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,33766,144,23
2004,"Bud Light","https://superbowl-ads.com/2004-bud-light-sleigh-ride/","https://www.youtube.com/watch?v=yQ_nU0_R7PE",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,88445,118,6
2002,"Budweiser","https://superbowl-ads.com/2002-budweiser-anniversary-card/","https://www.youtube.com/watch?v=LnU2T2P1oxA",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13245,49,3
2006,"Budweiser","https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/","https://www.youtube.com/watch?v=4WeAvfP1ikU",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,85274,78,16
2014,"Bud Light","https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/","https://www.youtube.com/watch?v=PnOW5qj_R6A",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,134186,405,27
2009,"Coca-Cola","https://superbowl-ads.com/2009-coca-cola-avatar/","https://www.youtube.com/watch?v=Kwke0LNardc",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1452877,3511,296
2014,"Bud Light","https://superbowl-ads.com/2014-bud-light-up-for-whatever-1/",NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA
2003,"Bud Light","https://superbowl-ads.com/2003-bud-light-third-arm/",NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA
2014,"Toyota","https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/","https://www.youtube.com/watch?v=b01P9PaaoLk",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,25834,140,5
2009,"Bud Light","https://superbowl-ads.com/2009-bud-light-skier/","https://www.youtube.com/watch?v=LEVQAU_LITI",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,30123,33,2
2014,"Kia","https://superbowl-ads.com/2014-kia-the-truth/","https://www.youtube.com/watch?v=FTNMYoKHwvU",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,17209,198,2
2014,"Hynudai","https://superbowl-ads.com/2014-hyundai-elantra-nice/","https://www.youtube.com/watch?v=2jMWybAKjWw",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1874,20,0
2013,"Bud Light","https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-commercial-lucky-chair/","https://www.youtube.com/watch?v=7HMTkEMdqBQ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,546,NA,NA
2008,"Bud Light","https://superbowl-ads.com/2008-bud-light-wheel-suck/","https://www.youtube.com/watch?v=WX8Du9pusdA",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,598260,755,54
2003,"Budweiser","https://superbowl-ads.com/2003-budweiser-great-listener/","https://www.youtube.com/watch?v=zx4SnN9HuRw",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27378,18,2
2013,"Bud Light","https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-ad-journey/","https://www.youtube.com/watch?v=leptS7k6sLE",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,394,1,0
